#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Shai Gilgeous-Alexander,OKC,40,34.3,31.6,11.2,21.1,53.1,2,5.8,35.2,7.2,8,89.7,0.8,4.6,5.4,6,2,1.1,2.7,32.8
2,Giannis Antetokounmpo,MIL,34,34.8,31.4,12.5,20.9,60.1,0.1,0.8,15.4,6.2,10.6,58.7,2.2,9.7,11.9,6,0.8,1.4,3.6,35.2
3,Nikola Jokić,DEN,35,36.7,30.4,11.6,20.7,55.8,2.1,4.5,47.1,5.2,6.4,80.4,3.5,9.7,13.1,9.9,1.8,0.5,3.1,42.2
4,LaMelo Ball,CHA,27,34.1,29.5,10.2,24.2,42.2,4.3,12.9,33,4.8,5.7,83.8,1,4.3,5.3,7.5,1.4,0.3,3.9,25.2
5,Jayson Tatum,BOS,38,36.3,27.8,9.3,20.2,46.2,3.7,10.3,36.1,5.4,6.8,79.6,0.7,8.6,9.3,5.3,1.3,0.5,2.8,29.2
6,Kevin Durant,PHX,30,36.1,27.1,9.8,18.7,52.3,2.1,5.6,37.9,5.4,6.5,83.2,0.5,5.9,6.4,4.2,0.8,1.3,3.2,26.5
7,De'Aaron Fox,SAC,38,37.2,26.3,9.7,20.2,48.2,2.1,6.3,32.8,4.8,5.9,81.2,1.1,4,5.2,6.1,1.6,0.4,3.3,24.7
8,Anthony Edwards,MIN,41,36.6,26.1,9,20.2,44.5,4.3,10,42.9,3.8,4.6,84,0.7,5.2,5.9,4.2,1.2,0.5,3.4,22.7
9,Tyrese Maxey,PHI,32,37.7,26,8.9,21.2,42.1,3.2,9.5,33.2,5,5.9,84.7,0.3,3.2,3.5,5.8,2.1,0.4,2.5,22.1
10,Jalen Brunson,NYK,42,35.2,26,8.9,18.4,48.4,2.3,6,38.9,5.8,7,82.8,0.5,2.5,3,7.4,0.9,0,2.4,24.2
11,Anthony Davis,LAL,36,34.9,25.8,9.4,18.1,52.3,0.8,2.3,32.1,6.2,7.9,78,2.8,9.1,11.9,3.5,1.3,2.1,2.3,32
12,Devin Booker,PHX,35,36.7,25.5,8.2,18.7,43.9,2.8,7.9,34.9,6.3,7,89.4,1.1,2.9,3.9,6.8,1.2,0.3,2.4,24.1
13,Karl-Anthony Towns,NYK,38,34.7,25.4,9.1,16.4,55,2.2,4.9,44.9,5.1,6.1,83.6,3,10.9,13.9,3.3,1,0.8,2.6,33.4
14,Damian Lillard,MIL,33,36,25,7.7,17.2,45.1,3.5,8.8,39.3,6.1,6.6,91.8,0.5,3.8,4.4,7.2,1.3,0.2,2.8,25.2
15,Victor Wembanyama,SAS,35,33.2,24.5,9,18.9,47.4,3.2,9.1,35.3,3.4,3.9,86.8,1.8,9,10.8,3.7,1.1,4.1,3.5,30.3
16,Cade Cunningham,DET,37,35.6,24.4,9.2,20.1,45.6,2.4,6.5,37.5,3.6,4.5,80.4,0.9,5.6,6.5,9.4,0.9,0.8,4.4,25.8
17,Tyler Herro,MIA,40,35.4,24.2,8.4,17.6,47.7,4,9.7,40.6,3.5,4.1,86.4,0.3,5.4,5.7,5,0.7,0.1,2.4,23.5
18,Kyrie Irving,DAL,32,35.5,23.9,8.8,18.3,48.1,3,6.9,43.2,3.3,3.7,89.7,1,3.5,4.6,4.8,1.3,0.4,2.3,22.8
19,LeBron James,LAL,36,34.9,23.8,9.2,17.8,51.6,2.3,5.7,40.2,3.2,4.2,75.5,0.9,6.6,7.5,8.8,0.8,0.6,3.8,28.1
20,Norman Powell,LAC,33,32.6,23.7,8.2,16.6,49.2,3.6,7.9,45.2,3.8,4.6,82.9,0.3,3.1,3.5,2.3,1.3,0.2,2.1,19.5
21,Zach LaVine,CHI,37,33.9,23.6,8.6,16.8,51.4,3.2,7.1,45.6,3.1,3.9,81.1,0.3,4.6,4.9,4.6,0.9,0.2,2.9,22.5
22,Jaylen Brown,BOS,34,35.5,23.3,8.5,18.7,45.4,2,6.3,32.4,4.3,5.6,76.3,1.4,4.5,5.9,4.8,1.3,0.3,2.8,21.3
23,Trae Young,ATL,37,35.8,23.1,6.9,17.3,40.2,2.9,8.5,34.5,6.2,7.2,86.8,0.5,2.9,3.4,11.9,1.3,0.2,4.3,24.3
24,Stephen Curry,GSW,32,31.7,22.9,7.6,17,44.9,4.4,10.7,41.6,3.3,3.5,93.7,0.5,4.5,5,6.2,1.2,0.5,3.1,23.1
25,Donovan Mitchell,CLE,38,31.1,22.7,8,18,44.6,3.7,9,40.6,3,3.7,82.1,0.6,3.9,4.4,4.4,1.4,0.2,2,20.6
26,Jaren Jackson Jr.,MEM,40,29.3,22.6,8.2,16.8,49,1.8,5.2,34.4,4.3,5.6,77.6,1.5,4.8,6.3,2.1,1.5,1.7,2.3,22
27,RJ Barrett,TOR,34,33.6,22.4,8.3,18,46.2,1.8,5.6,32.8,4,5.8,68.9,1,5.6,6.6,6,0.8,0.4,3.2,21.5
28,Jalen Green,HOU,40,32.9,21.5,7.5,17.2,43.4,2.9,8.1,35.7,3.7,4.2,87.5,0.6,3.8,4.4,2.7,1,0.4,2.4,17.3
29,DeMar DeRozan,SAC,36,35.7,21.5,8,16.6,48.1,0.8,2.5,33,4.6,5.4,86.5,0.5,3.2,3.8,3.9,1.2,0.4,1.5,19.9
30,James Harden,LAC,38,33.4,21.4,6.3,15.7,39.8,2.8,8.1,34.6,6.1,6.9,88.5,0.6,5.3,5.8,8,1.4,0.6,4.6,22.5
31,Jordan Poole,WAS,32,30.8,21.4,6.9,16,43.1,3.6,8.9,40,4,4.7,85.3,0.4,2.5,2.9,4.8,1.6,0.5,3.6,17.7
